Category,Language,Overview,Data Sheet,Product Guide,Product Video,Flash Canvas,Learn More
STG@77XX7SR@77XX7SRSR65,Chinese(Simplified),N/A,你好,N/A,N/A,N/A,你也好
STG@Blades@BladeCenter (Chassis),Chinese(Simplified),N/A,再见,N/A,N/A,N/A,再见吧
STG@Blades@BladeCenter H,Chinese(Simplified),N/A,新添加,N/A,N/A,N/A,
STG@Blades@BladeCenter HS12,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@BladeCenter HS22,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@BladeCenter HS22V,Chinese(Simplified),N/A,7,N/A,N/A,N/A,
STG@Blades@BladeCenter HS23,Chinese(Simplified),N/A,5,N/A,N/A,N/A,
STG@Blades@BladeCenter HS23E,Chinese(Simplified),N/A,6,N/A,N/A,N/A,
STG@Blades@BladeCenter HX5,Chinese(Simplified),N/A,9,N/A,N/A,N/A,
STG@Blades@BladeCenter S,Chinese(Simplified),N/A,8,N/A,N/A,N/A,
STG@Blades@BladeCenter Telco,Chinese(Simplified),N/A,123,N/A,N/A,N/A,
STG@Blades@BladeCenter Telco H,Chinese(Simplified),N/A,0,N/A,N/A,N/A,
STG@Blades@BladeCenter Telco L,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System Chassis,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System Manager Node,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System x220 Compute Node,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System x240 Compute Node,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System x240 M5 Compute Node,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System x440 Compute Node,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Blades@Flex System X6 Compute Node,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Dense for Converged Systems@HX2710-E,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Dense for Converged Systems@HX3710,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Dense for Converged Systems@HX3710-F,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@iDp 2U chassis,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@iDp 3U chassis,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@iDP DX360M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@iDP DX360M4 Chassis,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@iDP XC360M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@NeXtScale n1200 Enclosure,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@NeXtScale nx360 M5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@System x iDataPlex dx360 M2 Server,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@ThinkServer n400,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@High-Density@ThinkServer sd350 Server,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX1310,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX2310-E,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX3310,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX3310-F,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX3510-G,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX5510,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX5510-C,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@HV server for Converged Systems@HX7510,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Mission-Critical@System x3690 X5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Mission-Critical@System x3750 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Mission-Critical@System x3850 X5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Mission-Critical@System x3850-3950 X6,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Mission-Critical@System x3950 X5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Options@Racks/Power Solutions,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@Lenovo System x3250 M6,Chinese(Simplified),N/A,http://www.lenovo.com/images/products/system-x/pdfs/datasheets/cn_zh/x3250_m6_ds_cn_zh.pdf,N/A,N/A,N/A,http://shop.lenovo.com/us/en/systems/servers/racks/x3250-m6/
STG@Rack and Tower Servers@System C3510,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3100 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3100 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3100 M5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3200 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3250 M2,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3250 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3250 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3250 M5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3300 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3400 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3500 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3500 M5,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3530 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3550 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3550 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3550 M5,Chinese(Simplified),N/A,http://www.lenovo.com/images/products/system-x/pdfs/datasheets/cn_zh/x3550_m5_ds_cn_zh.pdf?,N/A,N/A,N/A,http://shop.lenovo.com/us/en/systems/servers/racks/x3550-m5/
STG@Rack and Tower Servers@System x3630 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3630 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3650,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3650 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3650 M4,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3650 M4 BD,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3650 M4 HD,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Rack and Tower Servers@System x3650 M5,Chinese(Simplified),N/A,http://www.lenovo.com/images/products/system-x/pdfs/datasheets/cn_zh/x3650_m5_ds_cn_zh.pdf?,N/A,N/A,N/A,http://shop.lenovo.com/us/en/systems/servers/racks/x3650-m5/
STG@Rack and Tower Servers@System x3755 M3,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Storage@Storage Area Network (SAN) - Switches,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Storage@Storage Area Network (SAN) - V Series 12Gb,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Storage@Storage Area Network (SAN) - V Series 6Gb,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Storage@StorSelect Software Defined Storage,Chinese(Simplified),N/A,,N/A,N/A,N/A,
STG@Storage@Tape,Chinese(Simplified),N/A,,N/A,N/A,N/A,
